Year,Metric,Value
1981,"Value of $1.00invested onJanuary 1, 1970",2.23
1982,"Value of $1.00invested onJanuary 1, 1970",2.71
1983,"Value of $1.00invested onJanuary 1, 1970",3.32
1984,"Value of $1.00invested onJanuary 1, 1970",3.52
1985,"Value of $1.00invested onJanuary 1, 1970",4.64
1986,"Value of $1.00invested onJanuary 1, 1970",5.51
1987,"Value of $1.00invested onJanuary 1, 1970",5.8
1988,"Value of $1.00invested onJanuary 1, 1970",6.76
1989,"Value of $1.00invested onJanuary 1, 1970",8.9
1990,"Value of $1.00invested onJanuary 1, 1970",8.63
1991,"Value of $1.00invested onJanuary 1, 1970",11.26
1992,"Value of $1.00invested onJanuary 1, 1970",12.11
1993,"Value of $1.00invested onJanuary 1, 1970",13.33
1994,"Value of $1.00invested onJanuary 1, 1970",13.51
1995,"Value of $1.00invested onJanuary 1, 1970",18.59
1996,"Value of $1.00invested onJanuary 1, 1970",22.86
1997,"Value of $1.00invested onJanuary 1, 1970",30.48
1998,"Value of $1.00invested onJanuary 1, 1970",39.19
1999,"Value of $1.00invested onJanuary 1, 1970",47.44
2000,"Value of $1.00invested onJanuary 1, 1970",43.12
2001,"Value of $1.00invested onJanuary 1, 1970",37.99
2002,"Value of $1.00invested onJanuary 1, 1970",29.6
2003,"Value of $1.00invested onJanuary 1, 1970",38.09
2004,"Value of $1.00invested onJanuary 1, 1970",42.23
2005,"Value of $1.00invested onJanuary 1, 1970",44.3
2006,"Value of $1.00invested onJanuary 1, 1970",51.3
2007,"Value of $1.00invested onJanuary 1, 1970",54.12
2008,"Value of $1.00invested onJanuary 1, 1970",34.09
2009,"Value of $1.00invested onJanuary 1, 1970",43.11
2010,"Value of $1.00invested onJanuary 1, 1970",49.61
2011,"Value of $1.00invested onJanuary 1, 1970",50.65
2012,"Value of $1.00invested onJanuary 1, 1970",58.76
2013,"Value of $1.00invested onJanuary 1, 1970",77.79
2014,"Value of $1.00invested onJanuary 1, 1970",88.44
2015,"Value of $1.00invested onJanuary 1, 1970",89.66
2016,"Value of $1.00invested onJanuary 1, 1970",100.38
2017,"Value of $1.00invested onJanuary 1, 1970",122.3
2018,"Value of $1.00invested onJanuary 1, 1970",116.94
2019,"Value of $1.00invested onJanuary 1, 1970",153.76
2020,"Value of $1.00invested onJanuary 1, 1970",182.06
2021,"Value of $1.00invested onJanuary 1, 1970",234.33
2022,"Value of $1.00invested onJanuary 1, 1970",191.89
2023,"Value of $1.00invested onJanuary 1, 1970",242.34
1974,Annualized Return over,-2.35
1975,Annualized Return over,3.21
1976,Annualized Return over,4.87
1977,Annualized Return over,-0.21
1978,Annualized Return over,4.32
1979,Annualized Return over,14.76
1980,Annualized Return over,13.96
1981,Annualized Return over,8.1
1982,Annualized Return over,14.09
1983,Annualized Return over,17.32
1984,Annualized Return over,14.81
1985,Annualized Return over,14.67
1986,Annualized Return over,19.87
1987,Annualized Return over,16.47
1988,Annualized Return over,15.31
1989,Annualized Return over,20.37
1990,Annualized Return over,13.2
1991,Annualized Return over,15.36
1992,Annualized Return over,15.88
1993,Annualized Return over,14.55
1994,Annualized Return over,8.7
1995,Annualized Return over,16.59
1996,Annualized Return over,15.22
1997,Annualized Return over,20.27
1998,Annualized Return over,24.06
1999,Annualized Return over,28.56
2000,Annualized Return over,18.33
2001,Annualized Return over,10.7
2002,Annualized Return over,-0.59
2003,Annualized Return over,-0.57
2004,Annualized Return over,-2.3
2005,Annualized Return over,0.54
2006,Annualized Return over,6.19
2007,Annualized Return over,12.83
2008,Annualized Return over,-2.19
2009,Annualized Return over,0.41
2010,Annualized Return over,2.29
2011,Annualized Return over,-0.25
2012,Annualized Return over,1.66
2013,Annualized Return over,17.94
2014,Annualized Return over,15.45
2015,Annualized Return over,12.57
2016,Annualized Return over,14.66
2017,Annualized Return over,15.79
2018,Annualized Return over,8.49
2019,Annualized Return over,11.7
2020,Annualized Return over,15.22
2021,Annualized Return over,18.48
2022,Annualized Return over,9.43
2023,Annualized Return over,15.69
1979,,5.86
1980,,8.45
1981,,6.47
1982,,6.7
1983,,10.63
1984,,14.78
1985,,14.32
1986,,13.83
1987,,15.27
1988,,16.31
1989,,17.55
1990,,13.93
1991,,17.59
1992,,16.17
1993,,14.93
1994,,14.38
1995,,14.88
1996,,15.29
1997,,18.05
1998,,19.21
1999,,18.21
2000,,17.46
2001,,12.94
2002,,9.34
2003,,11.07
2004,,12.07
2005,,9.07
2006,,8.42
2007,,5.91
2008,,-1.38
2009,,-0.95
2010,,1.41
2011,,2.92
2012,,7.1
2013,,7.4
2014,,7.67
2015,,7.3
2016,,6.94
2017,,8.49
2018,,13.12
2019,,13.56
2020,,13.89
2021,,16.55
2022,,12.56
2023,,12.03
1984,,8.76
1985,,10.49
1986,,10.76
1987,,9.86
1988,,12.17
1989,,16.61
1990,,13.94
1991,,14.34
1992,,15.47
1993,,15.72
1994,,14.52
1995,,14.81
1996,,16.8
1997,,17.52
1998,,17.9
1999,,18.93
2000,,16.02
2001,,13.74
2002,,11.48
2003,,12.22
2004,,10.94
2005,,11.52
2006,,10.64
2007,,10.49
2008,,6.46
2009,,8.04
2010,,6.76
2011,,5.45
2012,,4.47
2013,,4.68
2014,,4.24
2015,,5.0
2016,,6.69
2017,,9.92
2018,,7.77
2019,,9.0
2020,,9.88
2021,,10.66
2022,,8.8
2023,,13.97
1989,,11.55
1990,,11.16
1991,,11.9
1992,,11.34
1993,,12.76
1994,,14.58
1995,,14.6
1996,,14.56
1997,,16.65
1998,,17.75
1999,,17.88
2000,,15.68
2001,,15.24
2002,,12.71
2003,,12.98
2004,,13.22
2005,,11.94
2006,,11.8
2007,,11.82
2008,,8.43
2009,,8.21
2010,,9.14
2011,,7.81
2012,,8.22
2013,,9.22
2014,,9.85
2015,,8.19
2016,,7.68
2017,,7.19
2018,,5.62
2019,,6.06
2020,,7.47
2021,,9.52
2022,,9.8
2023,,9.69
1994,,10.98
1995,,12.22
1996,,12.55
1997,,13.07
1998,,14.94
1999,,17.25
2000,,15.34
2001,,13.78
2002,,12.98
2003,,13.84
2004,,13.54
2005,,12.48
2006,,13.37
2007,,12.73
2008,,9.77
2009,,10.54
2010,,9.94
2011,,9.28
2012,,9.71
2013,,10.26
2014,,9.62
2015,,9.82
2016,,9.15
2017,,9.69
2018,,9.07
2019,,10.22
2020,,9.56
2021,,9.76
2022,,7.64
2023,,7.56
